1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000076_gene1146,choV,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000025_gene5906,AZRU01000025_gene5906,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000031_gene88,dnaA,Chromosomal&nbsp;replication&nbsp;initiator&nbsp;protein&nbsp;DnaA,88.0
1437882.AZRU01000010_gene540,AZRU01000010_gene540,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000049_gene5245,AZRU01000049_gene5245,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000007_gene3093,AZRU01000007_gene3093,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000050_gene5329,AZRU01000050_gene5329,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000012_gene3545,AZRU01000012_gene3545,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000042_gene4584,AZRU01000042_gene4584,annotation&nbsp;not&nbsp;available,88.0
1437882.AZRU01000092_gene1300,AZRU01000092_gene1300,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000021_gene6250,AZRU01000021_gene6250,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000156_gene4344,AZRU01000156_gene4344,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000012_gene3467,AZRU01000012_gene3467,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000019_gene6017,AZRU01000019_gene6017,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000058_gene4175,AZRU01000058_gene4175,annotation&nbsp;not&nbsp;available,87.9
1437882.AZRU01000007_gene3096,AZRU01000007_gene3096,Pseudouridine&nbsp;synthase,87.8
1437882.AZRU01000028_gene710,AZRU01000028_gene710,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000044_gene6627,AZRU01000044_gene6627,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000042_gene4595,AZRU01000042_gene4595,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000031_gene44,AZRU01000031_gene44,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000009_gene920,AZRU01000009_gene920,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000022_gene6349,AZRU01000022_gene6349,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000211_gene2660,AZRU01000211_gene2660,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000067_gene5434,AZRU01000067_gene5434,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000034_gene410,AZRU01000034_gene410,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000052_gene3847,AZRU01000052_gene3847,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000007_gene3009,AZRU01000007_gene3009,annotation&nbsp;not&nbsp;available,87.8
1437882.AZRU01000002_gene2284,AZRU01000002_gene2284,annotation&nbsp;not&nbsp;available,87.7
1437882.AZRU01000004_gene1799,AZRU01000004_gene1799,annotation&nbsp;not&nbsp;available,87.7
1437882.AZRU01000056_gene3782,hldD,ADP-L-glycero-D-manno-heptose-6-epimerase,87.7
1437882.AZRU01000087_gene5611,AZRU01000087_gene5611,annotation&nbsp;not&nbsp;available,87.7
1437882.AZRU01000056_gene3795,AZRU01000056_gene3795,annotation&nbsp;not&nbsp;available,87.7
1437882.AZRU01000016_gene3315,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,87.6
1437882.AZRU01000058_gene4166,AZRU01000058_gene4166,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000005_gene1406,AZRU01000005_gene1406,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000028_gene771,AZRU01000028_gene771,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000211_gene2513,AZRU01000211_gene2513,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000083_gene6853,AZRU01000083_gene6853,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000031_gene105,ehuB,annotation&nbsp;not&nbsp;available,87.6
1437882.AZRU01000042_gene4594,pcaD,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000082_gene6825,AZRU01000082_gene6825,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000057_gene4190,AZRU01000057_gene4190,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000024_gene5768,AZRU01000024_gene5768,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000066_gene6731,rlmD,23S&nbsp;rRNA&nbsp;(uracil(1939)-C(5))-methyltransferase&nbsp;RlmD,87.5
1437882.AZRU01000065_gene6863,AZRU01000065_gene6863,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000086_gene5523,livM,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000043_gene4811,AZRU01000043_gene4811,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000079_gene3935,AZRU01000079_gene3935,annotation&nbsp;not&nbsp;available,87.5
1437882.AZRU01000001_gene2233,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,87.5
1437882.AZRU01000013_gene6906,AZRU01000013_gene6906,16S&nbsp;rRNA&nbsp;(Cytosine(967)-C(5))-methyltransferase,87.5
1437882.AZRU01000024_gene5730,rpmF,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000119_gene4269,AZRU01000119_gene4269,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000024_gene5805,AZRU01000024_gene5805,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000070_gene2751,AZRU01000070_gene2751,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000086_gene5515,AZRU01000086_gene5515,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000008_gene2859,modB,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000062_gene1192,AZRU01000062_gene1192,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000007_gene3017,AZRU01000007_gene3017,annotation&nbsp;not&nbsp;available,87.4
1437882.AZRU01000012_gene3531,bioB,Biotin&nbsp;synthase,87.3
1437882.AZRU01000019_gene6022,AZRU01000019_gene6022,annotation&nbsp;not&nbsp;available,87.3
1437882.AZRU01000024_gene5742,AZRU01000024_gene5742,annotation&nbsp;not&nbsp;available,87.3
1437882.AZRU01000032_gene1,AZRU01000032_gene1,annotation&nbsp;not&nbsp;available,87.3
1437882.AZRU01000001_gene2220,AZRU01000001_gene2220,annotation&nbsp;not&nbsp;available,87.3
1437882.AZRU01000013_gene6977,AZRU01000013_gene6977,annotation&nbsp;not&nbsp;available,87.3
1437882.AZRU01000024_gene5740,AZRU01000024_gene5740,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000028_gene766,AZRU01000028_gene766,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000024_gene5788,AZRU01000024_gene5788,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000011_gene3658,AZRU01000011_gene3658,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000001_gene2119,AZRU01000001_gene2119,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000042_gene4576,AZRU01000042_gene4576,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000042_gene4541,AZRU01000042_gene4541,annotation&nbsp;not&nbsp;available,87.2
1437882.AZRU01000033_gene525,AZRU01000033_gene525,annotation&nbsp;not&nbsp;available,87.1
1437882.AZRU01000025_gene5839,AZRU01000025_gene5839,annotation&nbsp;not&nbsp;available,87.1
1437882.AZRU01000068_gene5032,AZRU01000068_gene5032,annotation&nbsp;not&nbsp;available,87.1
1437882.AZRU01000110_gene4910,AZRU01000110_gene4910,annotation&nbsp;not&nbsp;available,87.1
1437882.AZRU01000001_gene2225,AZRU01000001_gene2225,annotation&nbsp;not&nbsp;available,87.1
1437882.AZRU01000078_gene4021,purK,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;synthase,87.1
1437882.AZRU01000016_gene3283,tal,Transaldolase,87.1
1437882.AZRU01000008_gene2932,AZRU01000008_gene2932,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000052_gene3852,AZRU01000052_gene3852,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000122_gene4891,AZRU01000122_gene4891,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000031_gene79,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,87.0
1437882.AZRU01000089_gene7023,AZRU01000089_gene7023,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000211_gene2626,AZRU01000211_gene2626,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000018_gene6496,ftsI,"Peptidoglycan&nbsp;D,D-transpeptidase&nbsp;FtsI",87.0
1437882.AZRU01000060_gene4095,AZRU01000060_gene4095,annotation&nbsp;not&nbsp;available,87.0
1437882.AZRU01000004_gene1804,AZRU01000004_gene1804,annotation&nbsp;not&nbsp;available,86.9
1437882.AZRU01000003_gene1760,AZRU01000003_gene1760,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",86.9
1437882.AZRU01000065_gene6877,AZRU01000065_gene6877,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000064_gene7056,AZRU01000064_gene7056,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000008_gene2915,AZRU01000008_gene2915,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000023_gene5658,AZRU01000023_gene5658,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000003_gene1666,AZRU01000003_gene1666,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000001_gene2030,AZRU01000001_gene2030,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000030_gene157,AZRU01000030_gene157,annotation&nbsp;not&nbsp;available,86.8
1437882.AZRU01000005_gene1302,AZRU01000005_gene1302,annotation&nbsp;not&nbsp;available,86.7
1437882.AZRU01000021_gene6219,AZRU01000021_gene6219,annotation&nbsp;not&nbsp;available,86.7
1437882.AZRU01000030_gene133,AZRU01000030_gene133,annotation&nbsp;not&nbsp;available,86.7
1437882.AZRU01000036_gene305,AZRU01000036_gene305,annotation&nbsp;not&nbsp;available,86.7
1437882.AZRU01000001_gene2139,AZRU01000001_gene2139,annotation&nbsp;not&nbsp;available,86.7
1437882.AZRU01000027_gene838,AZRU01000027_gene838,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000037_gene4427,AZRU01000037_gene4427,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000013_gene6923,AZRU01000013_gene6923,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000017_gene6383,AZRU01000017_gene6383,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000020_gene6117,AZRU01000020_gene6117,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000007_gene3011,AZRU01000007_gene3011,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000119_gene4273,AZRU01000119_gene4273,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000018_gene6520,AZRU01000018_gene6520,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000074_gene5560,glnA,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000043_gene4843,coaE,Dephospho-CoA&nbsp;kinase,86.6
1437882.AZRU01000007_gene3003,AZRU01000007_gene3003,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000029_gene208,AZRU01000029_gene208,annotation&nbsp;not&nbsp;available,86.6
1437882.AZRU01000133_gene6714,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,86.5
1437882.AZRU01000043_gene4836,galE,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000009_gene902,AZRU01000009_gene902,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000211_gene2493,AZRU01000211_gene2493,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000034_gene397,AZRU01000034_gene397,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000003_gene1748,AZRU01000003_gene1748,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000011_gene3654,AZRU01000011_gene3654,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000100_gene4282,AZRU01000100_gene4282,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000021_gene6224,AZRU01000021_gene6224,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000054_gene3694,AZRU01000054_gene3694,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000078_gene4029,aspA,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000022_gene6293,AZRU01000022_gene6293,annotation&nbsp;not&nbsp;available,86.5
1437882.AZRU01000009_gene971,pcaG,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000061_gene4058,AZRU01000061_gene4058,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000007_gene3083,AZRU01000007_gene3083,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000060_gene4096,AZRU01000060_gene4096,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000014_gene3228,AZRU01000014_gene3228,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000023_gene5702,AZRU01000023_gene5702,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000040_gene4723,AZRU01000040_gene4723,annotation&nbsp;not&nbsp;available,86.4
1437882.AZRU01000017_gene6418,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,86.4
1437882.AZRU01000046_gene5130,AZRU01000046_gene5130,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000023_gene5681,hmgA,"Homogentisate&nbsp;1,2-dioxygenase",86.3
1437882.AZRU01000054_gene3715,pyrH,Uridylate&nbsp;kinase,86.3
1437882.AZRU01000001_gene1987,AZRU01000001_gene1987,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000002_gene2377,AZRU01000002_gene2377,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000049_gene5249,AZRU01000049_gene5249,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000130_gene6810,AZRU01000130_gene6810,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000022_gene6336,AZRU01000022_gene6336,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000019_gene6101,AZRU01000019_gene6101,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000134_gene6696,AZRU01000134_gene6696,annotation&nbsp;not&nbsp;available,86.3
1437882.AZRU01000021_gene6264,hisZ,ATP&nbsp;phosphoribosyltransferase&nbsp;regulatory&nbsp;subunit,86.2
1437882.AZRU01000015_gene3394,AZRU01000015_gene3394,annotation&nbsp;not&nbsp;available,86.2
1437882.AZRU01000046_gene5147,ppk,Polyphosphate&nbsp;kinase,86.2
1437882.AZRU01000013_gene6917,AZRU01000013_gene6917,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),86.2
1437882.AZRU01000021_gene6241,AZRU01000021_gene6241,annotation&nbsp;not&nbsp;available,86.2
1437882.AZRU01000057_gene4235,AZRU01000057_gene4235,annotation&nbsp;not&nbsp;available,86.2
1437882.AZRU01000009_gene896,clpP,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,86.2
1437882.AZRU01000044_gene6644,AZRU01000044_gene6644,annotation&nbsp;not&nbsp;available,86.2
1437882.AZRU01000133_gene6708,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,86.1
1437882.AZRU01000020_gene6181,AZRU01000020_gene6181,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000046_gene5156,AZRU01000046_gene5156,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000002_gene2442,AZRU01000002_gene2442,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000017_gene6409,lipB,Octanoyltransferase,86.1
1437882.AZRU01000003_gene1639,AZRU01000003_gene1639,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000042_gene4550,peaA,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000094_gene1179,AZRU01000094_gene1179,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000019_gene6071,AZRU01000019_gene6071,annotation&nbsp;not&nbsp;available,86.1
1437882.AZRU01000094_gene1168,AZRU01000094_gene1168,annotation&nbsp;not&nbsp;available,86.0
1437882.AZRU01000020_gene6134,AZRU01000020_gene6134,annotation&nbsp;not&nbsp;available,86.0
1437882.AZRU01000050_gene5312,AZRU01000050_gene5312,annotation&nbsp;not&nbsp;available,86.0
1437882.AZRU01000016_gene3344,AZRU01000016_gene3344,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,86.0
1437882.AZRU01000028_gene725,AZRU01000028_gene725,annotation&nbsp;not&nbsp;available,86.0
1437882.AZRU01000051_gene5364,AZRU01000051_gene5364,annotation&nbsp;not&nbsp;available,86.0
1437882.AZRU01000024_gene5745,AZRU01000024_gene5745,Radical&nbsp;SAM&nbsp;protein,85.9
1437882.AZRU01000015_gene3414,AZRU01000015_gene3414,annotation&nbsp;not&nbsp;available,85.9
1437882.AZRU01000039_gene4629,speE,Polyamine&nbsp;aminopropyltransferase,85.9
1437882.AZRU01000049_gene5253,AZRU01000049_gene5253,annotation&nbsp;not&nbsp;available,85.9
1437882.AZRU01000037_gene4371,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,85.9
1437882.AZRU01000069_gene2791,lptA,Lipopolysaccharide&nbsp;export&nbsp;system&nbsp;protein&nbsp;LptA,85.9
1437882.AZRU01000014_gene3209,AZRU01000014_gene3209,annotation&nbsp;not&nbsp;available,85.9
1437882.AZRU01000022_gene6318,AZRU01000022_gene6318,annotation&nbsp;not&nbsp;available,85.9
1437882.AZRU01000001_gene2073,AZRU01000001_gene2073,annotation&nbsp;not&nbsp;available,85.9
1437882.AZRU01000115_gene4249,AZRU01000115_gene4249,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000028_gene745,AZRU01000028_gene745,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000004_gene1795,prmC,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000020_gene6148,AZRU01000020_gene6148,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000021_gene6198,AZRU01000021_gene6198,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000092_gene1292,AZRU01000092_gene1292,annotation&nbsp;not&nbsp;available,85.8
1437882.AZRU01000040_gene4670,AZRU01000040_gene4670,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,85.8
1437882.AZRU01000025_gene5889,AZRU01000025_gene5889,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000030_gene120,AZRU01000030_gene120,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000001_gene2186,AZRU01000001_gene2186,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000130_gene6806,AZRU01000130_gene6806,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000067_gene5416,AZRU01000067_gene5416,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000054_gene3699,pyrG,annotation&nbsp;not&nbsp;available,85.7
1437882.AZRU01000068_gene5017,priA,Primosomal&nbsp;protein&nbsp;N',85.7
1437882.AZRU01000032_gene30,AZRU01000032_gene30,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000026_gene5925,AZRU01000026_gene5925,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000075_gene4456,AZRU01000075_gene4456,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000010_gene625,AZRU01000010_gene625,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000197_gene4325,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,85.6
1437882.AZRU01000084_gene6761,yegS,Probable&nbsp;lipid&nbsp;kinase&nbsp;YegS-like,85.6
1437882.AZRU01000009_gene911,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,85.6
1437882.AZRU01000014_gene3178,AZRU01000014_gene3178,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000025_gene5898,AZRU01000025_gene5898,annotation&nbsp;not&nbsp;available,85.6
1437882.AZRU01000127_gene5337,AZRU01000127_gene5337,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000047_gene5084,AZRU01000047_gene5084,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000033_gene492,AZRU01000033_gene492,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000002_gene2271,AZRU01000002_gene2271,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000030_gene137,AZRU01000030_gene137,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000040_gene4685,AZRU01000040_gene4685,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000006_gene1562,AZRU01000006_gene1562,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000016_gene3309,zipA,Cell&nbsp;division&nbsp;protein&nbsp;ZipA,85.5
1437882.AZRU01000006_gene1543,AZRU01000006_gene1543,annotation&nbsp;not&nbsp;available,85.5
1437882.AZRU01000047_gene5094,otsA,Trehalose-6-phosphate&nbsp;synthase,85.4
1437882.AZRU01000001_gene2136,AZRU01000001_gene2136,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000139_gene1062,AZRU01000139_gene1062,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000031_gene77,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,85.4
1437882.AZRU01000018_gene6495,ftsL,Cell&nbsp;division&nbsp;protein&nbsp;FtsL,85.4
1437882.AZRU01000006_gene1568,hscB,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000025_gene5869,AZRU01000025_gene5869,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000065_gene6872,AZRU01000065_gene6872,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000003_gene1713,AZRU01000003_gene1713,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000006_gene1491,AZRU01000006_gene1491,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000111_gene4956,AZRU01000111_gene4956,annotation&nbsp;not&nbsp;available,85.4
1437882.AZRU01000004_gene1896,AZRU01000004_gene1896,annotation&nbsp;not&nbsp;available,85.3
1437882.AZRU01000023_gene5662,AZRU01000023_gene5662,annotation&nbsp;not&nbsp;available,85.3
1437882.AZRU01000038_gene5480,AZRU01000038_gene5480,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000088_gene5597,fabA,3-hydroxydecanoyl-[acyl-carrier-protein]&nbsp;dehydratase,85.2
1437882.AZRU01000091_gene4864,AZRU01000091_gene4864,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000003_gene1774,glgX,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000003_gene1684,AZRU01000003_gene1684,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000095_gene1246,AZRU01000095_gene1246,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000026_gene5986,eutC,annotation&nbsp;not&nbsp;available,85.2
1437882.AZRU01000001_gene1976,pstA,annotation&nbsp;not&nbsp;available,85.1
1437882.AZRU01000005_gene1354,AZRU01000005_gene1354,annotation&nbsp;not&nbsp;available,85.1
1437882.AZRU01000039_gene4653,AZRU01000039_gene4653,annotation&nbsp;not&nbsp;available,85.1
1437882.AZRU01000017_gene6450,AZRU01000017_gene6450,dTDP-4-dehydrorhamnose&nbsp;reductase,85.1
1437882.AZRU01000003_gene1672,AZRU01000003_gene1672,annotation&nbsp;not&nbsp;available,85.1
1437882.AZRU01000008_gene2903,AZRU01000008_gene2903,annotation&nbsp;not&nbsp;available,85.1
